,top_words,top_words_from_mean,top_words_from_diff,most_relev_op
0,pdf,court,pdf,86875
1,ryland,state,ryland,86875
2,devereux,v,devereux,86875
3,sewer,case,amtrak,86875
4,amtrak,unit,sewer,86875
5,hoggatt,act,hoggatt,86875
6,lotteri,tax,broadcast,86875
7,piper,sct,lotteri,86875
8,suitum,plaintiff,seizur,86875
9,seizur,us,piper,86875
10,park,law,court,86875
11,lauri,may,suitum,86875
12,4999,order,custodi,86875
13,plea,§,lauri,86875
14,tdr,defend,4999,86875
15,tax,judgment,tdr,86875
16,broadcast,claim,amend,86875
17,cattl,district,park,86875
18,mccue,led2d,habea,86875
19,billboard,upon,cargo,86875
20,pearc,constitut,order,86875
21,floorwheel,said,arrest,86875
22,saw,amend,mccue,86875
23,hay,would,plea,86875
24,307f,appeal,led2d,86875
25,bakeri,corpor,saw,86875
26,petitionervchristin,made,sentenc,86875
27,alien,one,floorwheel,86875
28,cargo,compani,billboard,86875
29,freight,feder,pearc,86875
30,cane,right,freight,86875
31,sentenc,petition,307f,86875
32,822042,evid,prison,86875
33,liggett,error,commerc,86875
34,collector,writ,petitionervchristin,86875
35,guilti,commerc,bakeri,86875
36,custodi,circuit,cattl,86875
37,lyon,motion,hay,86875
38,price,land,822042,86875
39,georgia,caus,motion,86875
40,lever,question,liggett,86875
41,administratrix,author,cane,86875
42,montana,person,corpor,86875
43,370373,trial,ohio,86875
44,2016,see,polici,86875
45,caster,sentenc,tax,86875
46,interrog,respond,advertis,86875
47,waialua,suit,370373,86875
48,arrest,1,caster,86875
49,suspect,shall,constitut,86875
50,viii,jurisdict,waialua,86875
51,shoe,suprem,lyon,86875
52,agricultur,govern,candid,86875
53,deport,within,lever,86875
54,commiss,time,2016,86875
55,isaac,congress,montana,86875
56,stephen,parti,state,86875
57,polici,rule,viii,86875
58,cigarett,pdf,administratrix,86875
59,compromis,plea,speech,86875
60,court,polici,wheel,86875
61,insur,requir,ship,86875
62,union,seizur,fcc,86875
63,amelia,use,isaac,86875
64,fee,charg,stephen,86875
65,sugar,offic,williamson,86875
66,14–915,statut,guilti,86875
67,plate,citizen,plate,86875
68,audit,habea,cigarett,86875
69,hardeman,issu,citizen,86875
70,mauri,power,shoe,86875
71,ship,new,hous,86875
72,hoe,section,amelia,86875
73,state,custodi,interrog,86875
74,travel,dismiss,14–915,86875
75,bank,gener,writ,86875
76,harri,arrest,hardeman,86875
77,navi,ryland,hoe,86875
78,plaintiff,decre,suspect,86875
79,liquor,first,marshal,86875
80,ineffectiveassist,mr,radio,86875
