,mod,wt
103472,2,1
92517,2,7
98979,2,146
91454,2,13
91455,2,35
91456,2,147
91457,2,148
91450,2,90
91451,2,149
91452,0,3
91453,3,150
91458,2,151
91459,0,22
107799,2,7
95823,0,22
95822,2,13
88563,3,112
95825,7,5
95824,2,152
95827,2,57
145889,0,1
89536,0,48
91980,2,153
91986,0,12
89537,2,154
91988,3,155
91989,0,156
89534,3,157
110518,1,5
110519,0,30
110512,1,1
110513,2,1
110510,1,59
110511,2,1
110516,1,1
110517,1,3
110514,2,1
110515,0,21
93589,1,3
95900,2,65
93580,2,14
93581,0,22
93582,0,158
93583,3,159
93584,2,151
93570,0,3
93586,2,86
93587,2,160
89619,3,92
89618,2,37
92187,2,1
92186,0,3
92185,3,159
92181,2,154
92180,3,161
92189,3,162
98875,17,163
89611,8,97
98608,1,12
98609,18,164
107919,1,5
107916,2,1
107917,1,5
107914,0,21
107915,2,68
107912,1,83
107913,1,2
88869,2,115
96599,2,165
96462,0,166
104759,0,1
104758,1,1
92519,0,35
104751,1,1
104750,1,1
104753,0,167
104752,1,2
104755,1,1
104754,0,74
104757,1,22
104756,1,1
2784695,1,1
99383,0,168
99959,2,8
99958,0,1
99955,0,12
99954,1,1
99957,0,169
99956,0,35
99951,1,2
99950,2,90
94923,0,170
96018,0,3
99387,2,171
145792,2,1
101987,0,3
101986,2,1
101985,1,1
101984,1,172
101983,0,1
101981,0,1
101980,0,21
85255,19,173
101989,0,3
101988,2,13
105406,0,10
105407,1,1
105404,1,5
105405,2,30
105402,2,68
105403,1,2
105400,0,21
105401,0,12
93572,0,1
105408,2,30
105409,2,1
106663,1,1
106662,1,1
106661,1,1
106660,1,5
106667,1,2
106668,1,5
102752,2,2
102751,0,21
102750,3,174
102757,1,2
102756,2,2
102755,0,1
102754,0,3
102759,0,1
102758,0,3
118214,1,5
112009,1,3
90980,2,13
118212,0,36
85359,2,175
86876,2,9
85357,1,2
107130,2,176
107131,2,68
107132,2,0
107133,20,177
107134,2,8
107136,0,178
107137,1,5
107138,1,1
107139,0,1
97629,1,1
85354,21,179
88523,2,9
88520,2,180
88521,2,181
88526,2,40
88527,2,8
88525,15,182
88529,2,65
86874,2,1
97628,2,7
85352,0,52
88291,0,52
88292,0,3
85353,2,35
108317,1,5
108316,1,5
99933,0,3
86873,2,1
108319,1,5
108318,1,5
97930,2,183
1332352,0,3
97933,2,184
97932,0,1
99932,1,1
97935,0,185
218455,2,14
85351,0,186
145695,1,2
86269,2,187
86267,3,2
86264,2,188
86263,2,189
86262,0,3
86261,2,189
85418,2,1
99931,1,5
103934,2,13
103935,0,10
103936,0,11
103937,2,2
103930,2,11
103931,0,12
103932,0,1
103933,1,5
103938,0,190
103939,0,5
86843,0,52
86842,3,1
86841,2,13
86840,3,165
86847,22,191
86846,3,2
86845,2,128
86844,0,192
86849,1,5
821432,2,1
821431,2,1
85862,1,5
85410,2,193
87570,2,194
87897,2,13
91549,0,35
87575,3,195
87577,2,196
92261,2,104
85515,2,197
92264,2,198
1728,1,1
1729,2,2
1726,2,1
1727,2,1
1724,2,1
1725,1,2
1722,2,1
1723,1,2
92269,0,12
95961,2,90
94913,0,47
94910,0,156
94916,23,199
111009,2,1
111008,1,1
111003,1,5
111002,1,5
111001,0,10
111000,1,2
111007,0,36
111006,2,68
111005,1,2
111004,1,2
110758,1,5
110759,2,44
110750,1,5
110751,1,1
110752,2,30
110754,1,2
110755,1,5
110756,2,1
110757,1,5
88886,2,151
88883,2,200
96066,0,62
96668,0,52
96669,3,201
96662,0,12
96663,2,25
96660,2,3
96666,2,20
96667,0,52
96664,2,13
96665,0,3
97393,2,202
97392,0,203
97395,1,2
97394,2,204
97397,0,1
97399,2,42
97398,2,30
105983,1,5
105982,1,5
105981,1,1
105980,1,1
105987,2,44
105986,2,44
105985,2,1
105984,1,1
94288,0,97
2512110,2,205
97535,0,116
85543,0,1
97537,2,206
97536,0,22
97531,1,3
97530,3,207
97533,1,208
85542,0,209
85541,3,210
94138,2,76
85546,24,211
102511,25,212
102510,2,213
102513,2,9
102512,0,12
102515,1,1
102514,2,1
102517,2,9
102519,0,21
102518,0,1
85544,2,214
104837,1,2
92095,2,18
112648,1,1
104829,3,28
104828,0,21
104823,1,1
112641,1,36
104821,0,215
112643,1,2
112644,1,1
104826,2,216
104825,2,217
104824,2,67
99289,2,159
99281,0,35
99280,0,218
99283,2,219
99282,0,3
99285,0,220
99284,0,12
99287,0,33
99286,1,3
86277,3,221
99757,0,22
92096,2,7
99755,2,13
99754,0,35
99752,2,1
99751,3,222
87361,2,154
85659,2,187
99759,2,40
99758,2,13
95663,2,204
95662,1,5
95660,0,36
95667,7,5
95666,2,2
95665,0,1
95664,2,22
216734,2,1
95669,3,28
95668,2,223
216733,1,83
92091,2,224
94066,2,225
109428,1,5
109429,1,2
94067,2,35
109424,1,5
109425,1,1
109426,0,12
109427,2,14
109420,2,1
109421,2,14
109422,1,1
109423,1,5
94065,2,226
94063,0,1
99442,0,12
94060,2,40
92645,2,13
90188,2,227
91175,2,228
105882,1,2
105883,2,68
105880,1,2
105881,2,1
105886,2,7
105887,0,1
105888,2,1
105889,2,1
107033,1,5
107035,0,12
107034,1,5
107037,2,30
107036,0,21
107039,0,229
107038,1,2
92578,2,13
92579,2,122
90996,2,42
96740,0,3
90997,3,102
90995,2,42
1447601,2,13
92396,2,230
92397,2,231
92394,0,12
92395,2,80
92392,1,3
92393,2,7
92391,3,232
97627,0,3
92398,0,233
92399,3,234
93629,2,7
93628,2,14
93625,0,22
93624,2,235
93627,3,236
93626,3,236
93621,2,237
93620,2,238
93623,2,239
93622,2,239
93134,2,57
93132,1,2
91728,2,14
91729,2,240
98100,0,36
91726,0,36
96033,1,30
96067,1,241
91724,2,242
91725,0,105
91722,2,243
91723,2,37
105309,0,167
105308,0,82
105301,2,7
105300,2,7
105303,1,2
105302,2,244
105305,1,2
105304,0,12
105307,1,2
105306,1,2
96501,2,204
84754,1,5
2764187,1,5
2764185,2,7
2764184,2,245
2764183,26,52
2764181,27,246
2764180,1,247
118285,2,0
86449,2,1
106146,1,2
106142,1,5
106143,26,248
106141,0,12
99441,0,33
102656,2,1
102654,2,206
102655,0,12
102652,0,12
102653,2,130
102650,2,30
102651,2,76
102658,0,12
102659,3,249
108434,28,250
108435,1,1
108436,2,1
108437,1,59
108430,1,2
108431,1,30
108432,1,5
108433,2,1
108438,1,2
108439,3,1
2788983,1,59
2788982,1,1
99857,0,3
89040,2,13
89047,2,129
89045,2,251
85491,2,252
103017,1,3
103016,2,1
103015,0,36
103014,0,36
103013,0,52
103012,2,1
103011,0,1
85936,2,102
85937,3,253
85934,2,128
85935,2,90
85932,3,2
85933,3,254
103019,2,14
103018,0,10
91899,3,2
109745,2,1
109744,29,255
109747,0,1
109746,1,5
109741,1,3
109740,2,131
109743,2,13
109742,30,256
109748,0,21
85492,2,1
89479,0,1
99465,0,257
99464,1,2
99467,0,3
2483562,0,3
99463,0,22
94595,10,7
1236479,2,1
99469,2,65
99468,0,22
100098,0,258
100099,2,30
100096,2,1
100097,0,52
100094,0,12
100095,0,22
100092,0,203
100093,2,13
100090,2,44
100091,2,30
98520,2,259
90422,2,260
90423,2,1
90421,2,261
90426,3,92
90427,2,262
90424,0,3
90428,2,263
90398,2,264
90390,0,3
90392,2,265
90394,2,128
90396,0,105
90397,2,266
101329,0,12
101328,0,12
101325,0,1
101324,0,1
101323,0,3
101322,0,12
101321,2,9
101320,1,2
85704,2,267
109576,2,68
109577,28,250
94593,3,268
109574,1,5
109575,0,3
109572,1,2
109573,1,5
109570,1,5
145716,1,5
109571,2,1
99336,3,269
145714,2,1
99606,2,91
91317,0,3
111630,1,2
111631,2,2
111632,1,2
111633,2,1
111634,2,1
111635,1,5
95278,4,270
95279,2,271
99601,6,87
95272,2,272
95273,2,13
95274,2,50
95275,0,52
95276,2,44
94897,0,3
94896,3,2
94895,0,12
94894,0,12
94893,0,273
94892,2,206
94891,2,76
94890,2,274
94899,0,275
94898,0,3
106271,0,74
93431,2,13
91503,3,41
95858,0,22
93432,2,276
92808,0,3
92809,0,3
92806,2,277
92807,2,278
92804,2,65
92805,2,44
92802,2,90
92803,0,279
92800,2,9
92801,3,280
93433,3,232
110273,1,5
110272,2,1
110271,0,22
110270,1,1
110275,2,1
110274,2,1
88240,2,281
97005,0,1
93435,2,19
105915,2,68
97006,1,1
105916,1,2
105917,1,2
137740,2,1
97008,0,2
105911,1,2
88248,2,282
105912,1,2
105913,2,1
137741,1,1
94127,1,2
93437,0,3
105147,0,69
105146,2,1
105145,3,1
105144,0,30
105143,2,30
105142,2,1
105141,1,1
100853,0,283
105918,0,1
105149,1,2
105148,1,5
100851,2,69
100856,0,1
100857,0,3
93867,3,62
93866,3,284
93865,2,204
93864,2,95
93863,3,285
93861,3,2
93860,2,286
100855,2,1
93868,2,139
110782,1,1
107789,20,177
107788,1,2
107783,1,5
107782,1,2
107781,1,2
107787,2,30
107785,2,8
107784,0,1
90101,0,1
93376,2,129
95538,0,1
94079,1,30
102494,0,21
102495,0,21
102496,0,287
102497,0,21
102490,2,1
102491,0,21
102492,0,1
102493,0,1
102498,0,12
102499,2,189
108632,0,36
108633,0,12
108630,2,80
108631,1,5
108636,1,5
108637,2,115
108634,1,2
108635,1,2
108638,2,1
108639,1,2
1321753,2,44
99486,0,3
93374,3,288
91375,0,3
108189,1,2
108184,1,83
108185,1,2
108186,1,2
108182,1,2
108183,1,83
91160,0,50
91161,2,289
91807,2,129
91168,2,272
95176,0,12
109583,2,68
109582,1,5
106552,1,5
109587,1,2
109586,2,30
106559,1,5
106558,1,2
109589,2,68
109588,1,5
858086,1,5
858085,2,1
105928,1,5
105921,1,2
105920,1,2
105923,1,2
105922,0,10
105925,1,2
105924,0,7
105926,0,82
91836,2,234
91837,2,128
91835,0,62
91832,2,13
85514,1,5
91831,2,290
91838,2,215
91839,2,57
100258,0,291
100259,2,292
107209,1,2
100254,0,3
100256,0,3
100257,0,3
100250,2,13
100251,2,274
100252,0,1
100253,0,3
107217,1,12
117858,2,1
117859,0,12
117852,2,68
117853,1,5
117850,2,8
117851,1,2
117856,2,1
117857,2,68
117854,1,2
117855,0,12
107212,2,91
93379,0,10
92345,2,130
92315,0,50
93378,3,293
89239,3,294
101129,31,1
101128,0,1
101125,2,30
101124,2,44
101127,0,1
101121,0,10
101120,0,10
101123,2,159
101122,1,3
106136,0,12
98224,0,1
98225,2,25
98226,2,295
98227,0,12
98220,1,2
98221,1,3
98222,0,35
98223,3,296
99483,0,3
87215,2,297
87216,0,52
87219,2,30
87218,0,1
799980,1,2
799981,2,1
799982,0,12
799984,1,3
799985,1,2
799986,2,1
799987,2,9
95875,0,298
1852339,2,91
106138,1,5
621293,0,299
621294,1,1
1087888,1,5
94922,1,2
2621064,2,7
2621066,2,0
2621067,2,2
2621060,1,3
2621062,0,3
2621063,2,90
99657,2,13
95965,2,13
96344,0,3
91339,1,1
103198,0,1
103199,0,74
103192,0,3
103193,1,2
103190,1,1
103191,1,1
103196,2,1
103197,0,3
103195,0,1
96847,0,5
95389,0,48
98650,2,0
103224,0,1
103225,0,3
103226,1,5
103227,1,1
103220,0,12
103221,0,35
103222,1,1
103223,1,300
103228,31,1
103229,0,52
94958,32,301
92641,2,302
94075,1,3
94950,0,22
94951,2,159
87911,3,303
94074,0,3
94272,2,7
97742,0,69
97740,0,69
94270,2,200
88108,2,14
97744,1,30
97745,3,89
88104,2,304
88105,0,3
88106,0,305
142879,1,1
88101,2,1
88103,33,306
100755,0,50
100754,0,12
100757,34,81
100756,1,2
100751,0,307
100750,1,1
100753,1,1
100752,0,203
94274,3,308
100759,1,5
100758,2,309
95458,2,9
95459,2,9
90779,2,2
95450,0,3
95451,0,15
95452,0,9
95453,0,105
95454,0,13
95456,2,1
95457,2,9
94071,2,1
92642,3,310
96699,0,105
90219,2,311
90218,0,12
90215,2,53
90214,35,312
90217,2,7
90216,2,44
90211,8,313
90213,2,204
90212,2,154
93401,2,13
96909,36,314
96908,1,1
93400,0,315
96903,3,316
96902,1,5
96901,2,13
96900,0,3
96905,3,2
96904,2,139
93405,0,105
93404,0,317
94722,2,2
93407,3,284
94725,2,318
93406,3,157
94724,0,3
94727,0,10
94180,1,319
94726,0,1
97568,2,320
94462,0,321
91337,2,13
94460,0,322
94461,2,30
94466,2,323
94467,37,324
111954,1,5
97562,0,3
111956,1,2
97563,2,104
98252,2,1
111953,1,5
98255,1,2
97567,2,325
91212,8,326
91213,2,69
91210,2,187
90690,16,142
90692,0,22
91214,15,32
91215,2,14
145771,2,327
90696,0,1
90698,3,2
92249,2,102
145775,1,2
89802,2,328
95339,0,12
95338,1,13
92109,15,329
92107,2,330
92106,2,42
92105,2,330
145777,1,5
92103,2,13
92100,2,331
92451,1,5
111469,2,30
111468,0,36
111463,1,3
111462,2,1
111464,1,5
111467,1,5
111466,0,52
110592,2,1
110593,1,2
110590,1,2
110596,1,59
110597,2,68
110594,1,2
110595,1,1
110598,1,5
110599,1,5
85811,3,253
85812,3,253
96088,2,13
96089,1,1
85817,0,3
85816,3,332
91014,2,13
85819,3,2
93278,1,2
85818,3,254
93276,0,333
93274,0,131
93272,1,3
93273,3,334
93270,0,12
93271,2,335
98028,0,3
87900,2,336
98026,2,337
98024,0,35
98022,2,338
87903,2,13
98020,0,3
98021,2,25
110336,1,83
110337,1,5
110334,1,1
110335,0,36
110332,2,9
110333,1,5
110330,2,30
110331,1,2
87905,2,44
110338,1,5
110339,1,5
104426,0,12
104425,0,1
104424,0,21
104423,2,88
104422,1,83
104421,0,1
118102,1,5
118109,1,2
104429,1,5
104428,0,10
96179,3,339
96172,2,340
96170,0,131
96171,3,341
96176,0,50
96177,2,13
106373,2,68
102861,0,12
102863,17,2
102862,0,12
102864,3,2
102867,2,342
102866,3,204
102869,2,189
102868,2,343
87204,2,7
87208,0,44
92243,0,3
97225,0,3
97227,2,13
97226,3,344
97221,1,3
97220,0,22
97223,0,12
97222,0,12
97229,0,35
97228,0,345
102285,0,1
102284,0,1
102287,0,10
102286,0,1
102281,1,1
102280,0,3
102283,0,21
102282,0,3
102289,0,10
102288,2,1
99049,2,1
99048,2,9
96063,0,1
107426,1,5
107427,1,5
107424,1,2
107425,0,12
107422,2,44
107423,1,2
107420,2,1
107421,2,44
99255,1,3
110309,1,5
112379,2,1
105488,2,204
105489,0,22
105486,2,21
105487,2,68
105484,1,5
105485,1,1
105482,2,68
105483,2,9
105480,2,68
105481,2,68
102139,0,346
102138,15,347
102137,1,7
102136,0,35
102135,2,274
102134,0,10
102133,0,2
102132,2,9
102131,0,21
102130,2,3
112082,2,1
112083,2,1
112080,1,2
112081,0,12
112086,2,68
112087,1,5
112084,1,2
112085,1,2
95342,2,348
112088,1,2
112089,1,5
95580,2,128
104999,1,5
104998,2,1
104997,1,2
104996,1,1
104995,2,1
104993,3,2
104992,0,1
104991,0,346
104990,2,1
109958,1,5
798255,1,2
109954,1,5
109955,0,167
109956,1,2
109957,2,1
109950,1,5
109951,2,68
109952,1,30
109953,1,83
108399,1,2
108398,1,2
108395,1,5
108394,1,5
108397,2,10
108396,38,349
108391,2,1
108390,1,5
108393,2,350
108392,1,5
103422,0,351
103423,2,68
103420,2,1
103421,0,21
103426,2,1
103427,2,13
103424,0,190
103425,1,1
103428,1,5
103429,1,1
111850,0,35
111856,1,5
111857,2,1
111858,0,1
111859,2,1
97822,0,69
90035,0,352
1974855,0,1
99786,0,33
97816,0,3
99781,0,131
87822,4,353
87823,3,207
87821,39,354
87825,2,97
87828,0,105
87829,3,355
92746,2,7
92362,2,7
92740,2,18
95268,0,3
95091,3,356
99788,0,357
92742,2,358
99789,1,3
95095,32,301
109048,2,1
109049,0,21
109042,1,2
109043,1,5
109040,2,1
109041,2,68
109046,1,2
109047,2,8
109044,0,12
109045,2,1
100193,0,359
100192,40,1
100190,40,1
100197,2,13
100196,3,360
100195,0,12
100194,0,361
100199,2,1
100198,1,2
92668,2,362
95637,2,9
92646,2,19
96621,1,12
92525,2,363
2654756,1,2
92498,2,364
2654754,1,5
2645639,1,2
91577,2,1
88471,2,350
1324132,2,13
856347,1,83
98492,1,2
85649,2,13
146790,1,2
95868,1,2
87001,0,12
87003,3,365
87004,41,366
87005,42,367
87006,2,18
87007,2,1
87008,2,13
92490,2,154
92379,0,3
1213431,2,368
92372,2,154
92373,2,369
92374,0,22
92375,2,370
92377,2,371
86752,2,2
86751,0,131
86757,0,3
86755,2,372
86551,2,30
86759,3,293
89875,3,1
2526398,2,3
89175,2,373
89172,3,365
89173,0,12
89170,0,374
96378,2,375
96379,0,105
89178,2,376
89179,3,377
94208,0,156
94209,2,304
87585,2,30
87584,2,66
87587,2,90
87582,2,13
87588,2,7
118022,1,2
118023,1,5
118020,2,68
118021,1,1
118026,1,5
118027,1,5
118024,2,0
118025,1,5
118028,2,1
118029,2,68
92653,3,157
99201,0,3
99200,0,12
99203,2,44
99202,2,7
99205,0,378
99204,3,3
99207,2,379
99206,1,2
99209,23,199
99208,2,338
86048,2,380
95559,0,3
95558,0,381
95555,0,3
2462772,2,1
95557,2,382
95556,0,105
95551,2,302
95550,1,28
95553,0,12
95552,2,1
86042,2,383
97371,0,52
88861,2,17
90008,1,2
90009,2,7
90005,3,384
90006,3,28
90007,2,7
90000,3,385
90002,2,386
90003,2,66
121145,2,1
121147,2,1
121146,1,2
121149,2,1
121148,2,13
98841,0,3
92654,2,1
98846,2,127
98847,2,7
94787,2,13
94786,0,3
94785,0,105
94784,2,1
94783,3,387
94782,1,2
94781,2,388
94780,2,130
94789,1,2
94788,3,207
98360,1,2
106928,2,68
91669,43,389
91668,0,390
94174,0,1
92958,2,391
92757,2,392
94172,2,8
92955,2,9
87754,2,380
97845,0,116
97844,2,25
97847,0,52
97846,2,90
97840,2,25
97843,2,393
97842,2,7
97752,0,10
97849,0,21
97848,2,13
90664,2,51
90665,2,228
90666,2,42
90667,0,1
87757,2,187
92318,2,394
92319,2,7
92317,2,395
92314,0,12
92312,0,12
92313,8,326
92310,2,396
92311,2,90
112684,2,68
104388,0,12
104389,2,8
104382,2,68
104383,3,345
104380,2,1
104381,2,7
104386,1,1
104384,0,35
104385,1,2
112680,2,0
112681,1,1
96019,0,5
112682,2,1
112683,1,59
93029,0,5
93162,15,347
91634,1,2
91635,2,337
91636,2,154
105381,0,36
105383,1,1
105382,1,2
105385,0,10
105384,0,21
105387,2,30
105386,2,68
105389,2,68
105388,31,1
108734,1,2
93021,2,318
91631,0,12
93020,3,397
91632,2,97
93027,0,12
91633,2,398
87753,2,399
93026,2,9
93160,2,204
92401,2,20
93025,2,144
93024,3,95
106212,1,2
105098,1,5
106210,0,12
106211,2,1
104654,0,74
104655,1,2
104656,2,9
104657,0,10
104650,2,13
104651,2,44
104652,0,12
104653,0,1
104658,2,9
104659,2,7
105525,1,1
105527,2,1
105526,2,13
105095,1,1
105529,2,44
105528,1,2
105094,2,68
112129,1,2
112128,2,1
87758,15,400
112121,1,5
112120,1,2
112123,1,2
112122,1,2
112125,1,2
112124,1,1
112127,1,2
112126,2,1
92759,0,233
92010,0,401
93168,2,402
87999,2,403
107679,1,5
107678,1,5
107677,0,10
107676,1,2
101423,0,1
107672,0,10
107670,1,9
93169,2,141
93040,2,90
93043,0,1
89941,2,141
87787,44,404
89940,0,405
100544,2,90
100545,0,1
100546,1,406
100540,2,206
100541,7,22
100542,2,57
100543,3,407
108210,1,10
108211,1,2
108212,1,255
108213,2,102
108214,1,2
108215,1,2
108216,1,5
108217,1,5
108218,0,116
108219,0,1
93044,2,14
85199,2,408
86348,0,409
91046,2,272
86340,23,410
86341,15,138
86342,3,411
86343,0,237
86346,31,9
91506,43,389
91507,2,412
91504,2,413
91505,2,2
91502,3,2
91041,0,3
91500,0,22
91501,0,233
91040,2,414
91508,0,3
99711,2,50
99710,0,1
99716,0,1
101639,0,22
101638,0,415
101635,0,1
101634,0,33
101637,0,415
101636,1,3
101630,0,3
101633,2,44
101632,0,12
99718,0,1
91073,2,416
2670795,1,83
2771752,2,1
2771753,2,1
96317,2,50
97202,3,2
94819,0,36
94818,0,11
620671,1,2
620673,1,5
620672,2,1
87633,2,51
87632,3,417
87630,3,417
87637,2,3
87636,4,418
87635,2,419
87634,2,18
87639,2,204
87638,3,420
99109,0,116
93096,0,3
92060,45,421
97200,0,10
110141,1,5
110140,1,5
110143,1,2
110142,1,5
110145,1,5
110144,1,5
110147,1,422
110146,0,36
110148,1,2
93413,1,5
88618,0,3
88615,2,44
88616,2,206
88610,3,253
88611,2,423
88612,2,13
86950,0,52
94838,0,215
88179,2,8
96024,2,50
97779,1,1
87993,0,1
84842,1,2
96507,0,3
96506,3,424
96505,2,337
96504,1,2
96503,0,36
96502,2,425
96500,0,3
97775,1,2
96509,0,105
96508,2,426
97676,1,3
97677,0,36
97674,2,18
97675,0,12
97672,1,1
97673,2,50
97670,2,1
97671,2,13
97678,2,13
97770,2,427
100760,0,33
100761,2,76
102414,0,283
102410,0,3
102411,2,13
102412,2,9
102413,2,13
89977,2,42
100764,0,21
86657,2,428
100767,2,67
86655,3,429
145903,2,1
145902,0,1
92538,15,430
92539,2,13
89975,3,1
92537,2,40
92534,1,2
2477913,0,13
92535,2,431
99412,1,30
99413,2,102
145909,1,5
99416,2,432
99418,0,3
99419,2,1
145908,0,1
89491,2,13
95748,2,433
95749,2,13
99045,3,2
95744,2,1
89973,2,434
104608,1,2
